Run,Drop,Starting Height,Point One Height,Point One Time,Point Two Height,Point Two Time,Transformational Velocity,,Frame Rate,??/Frame 1,??/Frame 2,Avg ??/Frame,… in Radians,?,,Gravity,?,Radius of Aparatus,Radius of Rod,?,,Y-axis,X-axis,?,,Experimental Percent Uncertainty,,Sorted Smallest to Largest,
1,1,0.473,0.06,4.96,-0.007,5.42,-0.1456521739,,30,25.81,23.34,24.575,0.4289143014,12.8674290417,,9.81,0.0570824524,0.243,0.01,24.3,,8.7293054442,12.526983034,0.6968402065,,0.2197918433,,0.0050426357,Top 1%
1,2,0.419,0.042,17.02,0.003,17.3,-0.1392857143,,30,22.79,25.34,24.065,0.4200131297,12.6003938917,,9.81,0.0596658711,0.243,0.01,24.3,,7.7108794898,11.4558072704,0.6730978715,,0.2628178397,,0.0050903835,
1,3,0.369,0.191,26.64,0.031,28.12,-0.1081081081,,30,23.76,21.18,22.47,0.3921751517,11.76525455,,9.81,0.0704607046,0.243,0.01,24.3,,6.717972637,6.9012710007,0.9734399122,,0.1268079423,,0.0081914115,
1,4,0.317,0.151,37.12,0.034,38.28,-0.100862069,,30,15.52,15.05,15.285,0.2667733508,8.003200525,,9.81,0.0504731861,0.243,0.01,24.3,,5.895446843,6.007147451,0.9814053827,,0.133895111,,0.0107318015,
1,5,0.285,0.109,47.08,0.037,47.84,-0.0947368421,,30,15.61,12.26,13.935,0.2432114258,7.296342775,,9.81,0.0754385965,0.243,0.01,24.3,,5.1608949307,5.2996886427,0.9738109687,,0.1271406594,,0.0136139558,
1,6,0.242,0.136,55.4,0.033,56.68,-0.08046875,,30,13.71,16.9,15.305,0.2671224164,8.0136724917,,9.81,0.0888429752,0.243,0.01,24.3,,4.3197347803,3.8235524963,1.1297699677,,0.2476344528,,0.0141378229,
1,7,0.199,0.061,64.42,0.011,65.06,-0.078125,,30,15.86,15.09,15.475,0.2700894736,8.1026842083,,9.81,0.5,0.243,0.01,24.3,,1.9460864844,3.6040649414,0.5399698718,,,,0.0206358024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0262051091,
2,1,0.493,0.322,4.22,0.075,6.38,-0.1143518519,,30,25.15,25.06,25.105,0.4381645386,13.1449361583,,9.81,0.0780933063,0.243,0.01,24.3,,8.904213654,7.7214515625,1.1531787232,,0.2629069693,,0.0315807175,
2,2,0.416,0.272,16.46,0.042,18.48,-0.1138613861,,30,23.18,24.38,23.78,0.4150389456,12.4511683667,,9.81,0.0649038462,0.243,0.01,24.3,,7.6192155847,7.655357563,0.9952788648,,0.1459679994,,0.0354133244,
2,3,0.362,0.218,27.78,0.068,29.26,-0.1013513514,,30,22.45,22.81,22.63,0.3949676761,11.8490302833,,9.81,0.0662983425,0.243,0.01,24.3,,6.6212879036,6.0655702155,1.0916183752,,0.2213396007,,0.0360702638,
2,4,0.314,0.179,38.26,0.045,39.6,-0.1,,30,21.28,20.3,20.79,0.362853645,10.88560935,,9.81,0.0445859873,0.243,0.01,24.3,,5.876,5.9049,0.9951057596,,0.145819435,,0.0424106012,
2,5,0.286,0.18,47.72,0.044,49.12,-0.0971428571,,30,19.19,19.04,19.115,0.3336194047,10.0085821417,,9.81,0.0786713287,0.243,0.01,24.3,,5.1604332653,5.5722974694,0.9260871828,,0.0821598487,,0.045365023,
2,6,0.241,0.114,56.98,0.013,58.22,-0.0814516129,,30,16.3,16.96,16.63,0.2902480094,8.7074402833,,9.81,0.0892116183,0.243,0.01,24.3,,4.2999556348,3.9175263332,1.0976200972,,0.2255972698,,0.0468762316,
2,7,0.198,0.119,64.84,0.033,66.12,-0.0671875,,30,16.74,15.68,16.21,0.2829176328,8.4875289833,,9.81,0.0606060606,0.243,0.01,24.3,,3.6448058398,2.6655664307,1.3673663496,,0.3783670336,,0.0474237426,
2,8,0.174,0.102,72.35,0.017,73.62,-0.0669291339,,30,14.21,13.55,13.88,0.2422514956,7.2675448667,,9.81,0.1120689655,0.243,0.01,24.3,,3.026810491,2.6451052452,1.1443062602,,0.2571918641,,0.0502872909,
2,9,0.135,0.085,79.26,0,80.22,-0.0885416667,,30,13.45,12.09,12.77,0.2228783572,6.6863507167,,9.81,0.0962962963,0.243,0.01,24.3,,2.3858003733,4.6292211914,0.5153783487,,0.6492737853,,0.0514281326,
2,10,0.109,0.075,85.44,0.009,86.7,-0.0523809524,,30,12.04,12.04,11.07,0.193207785,5.79623355,,9.81,0.0871559633,0.243,0.01,24.3,,1.9494462358,1.6201653061,1.2032390945,,0.2935734852,,0.0540456078,
2,11,0.09,0.046,91.74,0.004,92.56,-0.0512195122,,30,10.1,9.74,9.305,0.1624027497,4.8720824917,,9.81,0.0833333333,0.243,0.01,24.3,,1.6160265616,1.5491141582,1.0431939783,,0.1851946832,,0.0550629398,
2,12,0.075,0.05,96.94,0.004,97.92,-0.0469387755,,30,8.87,9.47,8.71,0.1520180494,4.5605414833,,9.81,0.1,0.243,0.01,24.3,,1.3221467514,1.3009962932,1.0162571241,,0.1635974992,,0.0592566722,
2,13,0.06,0.027,102.2,0.003,102.74,-0.0444444444,,30,7.95,8.57,8.26,0.1441640744,4.3249222333,,9.81,0.5,0.243,0.01,24.3,,0.5866246914,1.1664,0.5029361208,,,,0.0616234911,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0635628911,
3,1,0.499,0.051,7.14,0.002,7.46,-0.153125,,240,4.28,4.12,4.2,0.0733037667,17.592904,,9.81,0.0761523046,0.243,0.01,24.3,,9.0213727344,13.8453758789,0.6515801964,,0.3045209242,,0.0650336926,
3,2,0.423,0.166,18.12,0.032,19.18,-0.1264150943,,240,2.84,3.17,3.005,0.0524470997,12.5873039333,,9.81,0.0709219858,0.243,0.01,24.3,,7.6946792239,9.4364884656,0.8154176474,,0.0424106012,,0.0681801737,
3,3,0.363,0.193,28.74,0.031,30.14,-0.1157142857,,240,4.02,3.73,3.875,0.0676314514,16.2315483333,,9.81,0.0592286501,0.243,0.01,24.3,,6.6868402041,7.9065405918,0.8457352652,,0.0050426357,,0.0715125178,
3,4,0.32,0.081,39.93,0.011,40.54,-0.1147540984,,240,2.66,2.79,2.725,0.0475601819,11.4144436667,,9.81,0.065625,0.243,0.01,24.3,,5.8532114969,7.7758693899,0.7527404594,,0.1292072711,,0.0789930675,
3,5,0.278,0.173,48.3,0.036,49.86,-0.0878205128,,240,2.28,2.35,2.315,0.0404043381,9.6970411333,,9.81,0.0647482014,0.243,0.01,24.3,,5.0934875575,4.5541201553,1.1184350399,,0.2400095046,,0.0821598487,
3,6,0.242,0.115,57.64,0.025,58.76,-0.0803571429,,240,2.15,2.38,2.265,0.0395316742,9.4876018,,9.81,0.0888429752,0.243,0.01,24.3,,4.3197527296,3.8129536033,1.1329151044,,0.2497231287,,0.0833216595,
3,7,0.199,0.091,66.12,0.013,67.1,-0.0795918367,,240,2.18,2.19,2.185,0.0381354119,9.1524988667,,9.81,0.0829145729,0.243,0.01,24.3,,3.5743151395,3.7406717618,0.9555276077,,0.1104390986,,0.0834166581,
3,8,0.166,0.068,73.72,0.013,74.46,-0.0743243243,,240,1.64,2.13,1.885,0.0328994286,7.8958628667,,9.81,0.093373494,0.243,0.01,24.3,,2.9472858948,3.2619288714,0.9035408223,,0.0592566722,,0.0836147179,
3,9,0.135,0.061,80.58,0.003,81.46,-0.0659090909,,240,1.55,1.55,1.55,0.0270525806,6.4926193333,,9.81,0.0703703704,0.243,0.01,24.3,,2.4579659917,2.5650934401,0.9582364343,,0.1129537872,,0.0862055117,
3,10,0.116,0.044,87.06,-0.001,87.88,-0.0548780488,,240,3.21,0,1.605,0.0280125108,6.7230026,,9.81,0.5,0.243,0.01,24.3,,1.1349483998,1.7783198245,0.6382138826,,,,0.0893700104,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0934230078,
4,1,0.501,0.262,4.82,0.045,6.48,-0.1307228916,,120,6.05,7.25,6.65,0.1160642972,13.9277156667,,9.81,0.0748502994,0.243,0.01,24.3,,9.0767815256,10.0905732363,0.8995308109,,0.0550629398,,0.0959377683,
