Y-axis: 2gh(1-lambda)-v^2,X-axis: v^2*gamma^2
8.729,12.527
7.711,11.456
6.718,6.901
5.895,6.007
5.161,5.300
4.320,3.824
8.904,7.721
7.619,7.655
6.621,6.066
5.876,5.905
5.160,5.572
4.300,3.918
3.645,2.666
3.027,2.645
2.386,4.629
1.949,1.620
1.616,1.549
1.322,1.301
9.021,13.845
7.695,9.436
6.687,7.907
5.853,7.776
5.093,4.554
4.320,3.813
3.574,3.741
2.947,3.262
2.458,2.565
9.077,10.091
7.843,8.641
6.894,7.190
6.034,5.285
5.192,4.385
4.359,3.559
3.653,3.439
3.006,3.147
2.557,2.263
2.165,1.961
1.733,1.913
1.409,1.857
1.096,1.576
0.871,1.113
0.764,0.761
0.676,0.656
8.890,10.311
7.578,9.011
6.657,8.037
5.824,7.423
5.120,6.454
4.533,5.091
3.858,4.159
3.230,4.101
2.663,3.176
2.212,2.893
1.900,1.776
1.568,1.007
1.274,0.774
1.078,0.624
4.590,6.387
3.897,4.367
3.231,3.820
2.654,2.419
2.213,2.624
1.830,2.378
1.527,2.126
1.263,1.722
0.998,1.280
0.822,1.085
0.685,0.920
0.558,0.680
0.440,0.656
0.324,0.133
0.215,0.321
4.590,6.154
3.926,4.473
3.319,4.101
2.849,3.509
2.478,2.400
2.134,2.745
1.822,1.584
1.518,1.212
1.254,1.047
1.137,0.559
1.029,0.885
0.882,0.547
0.774,0.465
4.522,6.176
3.917,4.308
3.280,3.779
2.721,3.509
2.349,2.994
1.988,2.218
1.655,1.476
1.390,1.547
1.175,1.476
1.038,0.925
0.871,0.988
0.676,0.402
0.549,0.331
